Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_31,Iteration_32,Iteration_33,Iteration_34,Iteration_35,Iteration_36,Iteration_37,Iteration_38,Iteration_39,Iteration_40,Iteration_41,Iteration_42,Iteration_43,Iteration_44,Iteration_45,Iteration_46,Iteration_47,Iteration_48,Iteration_49,Iteration_50
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,4000,3,3,2,3,3,3,4,6,3,3,4,3,4,5,4,3,3,3,3,4,5,4,3,6,4,4,3,4,4,3,3,4,2,3,5,4,3,3,4,5,3,3,2,3,3,5,3,3,3
55,4000,4,4,3,4,4,4000,6,7,4000,4,4,9,6,7,4,3,6,4,6,7,9,7,5,8,5,5,4,8,6,4,5,5,4000,3,6,7,4,612,6,6,3,4,4,4,4,5,7,4,4
67,4000,6,5,4,5,5,4000,8,9,4,5,8,8,8,9,5,4000,6,4,6,7,9,9,7,9,7,9,4,8,7,4,6,5,1269,4,9,6,4,4,8,8,4,5,5,4,6,6,9,5,5
77,4000,6,7,5,8,5,4000,9,9,4000,7,8,10,8,10,8,4,6,5,6,10,8,9,9,9,7,11,4000,11,8,4000,10,7,2128,5,9,7,5,4,8,8,6,7,6,5,8,6,8,5,8
88,4000,7,6,5,9,5,4000,9,12,4000,7,10,11,11,9,8,5,8,6,9,10,10,10,10,12,6,9,7,12,8,4000,10,7,1880,4000,10,9,4000,4000,9,8,6,8,8,6,8,7,9,6,7
97,4000,8,7,8,7,6,4000,9,10,4000,9,11,10,10,12,9,4000,9,7,8,10,9,12,4000,4000,8,10,8,11,8,4000,11,7,4000,7,12,8,6,5,9,8,8,9,8,7,8,8,4000,6,7
106,2882,8,8,4000,7,4000,4000,11,10,4000,9,11,11,12,9,9,4000,9,8,9,9,11,14,4000,4000,8,12,9,11,10,6,11,9,4000,4000,12,11,4000,6,10,9,9,7,8,4000,10,7,4000,9,9
115,4000,8,9,10,8,9,4000,11,11,4000,9,13,10,11,12,8,6,10,10,9,12,4000,13,4000,11,8,12,8,11,10,4000,12,10,4000,4000,12,10,7,4000,10,9,9,8,10,4000,9,8,4000,8,9
123,4000,9,10,14,9,4000,4000,13,14,4000,12,11,12,11,13,10,4000,10,13,9,14,4000,14,4000,4000,10,11,9,12,12,4000,13,11,4000,4000,13,11,7,4000,11,9,13,9,11,8,10,9,4000,10,9
131,9,9,10,12,4000,4000,4000,11,13,4000,11,4000,13,11,11,11,4000,4000,12,10,14,14,14,4000,13,10,11,215,12,12,4000,13,9,4000,11,11,11,4000,4000,12,9,14,4000,12,4000,12,9,4000,11,10
139,4000,12,11,11,10,4000,11,12,11,4000,13,4000,10,11,14,11,4000,13,14,11,11,4000,16,2269,15,12,11,4000,12,11,4000,12,9,4000,10,12,11,4000,4000,12,11,15,8,11,4000,11,9,4000,4000,12
147,9,11,14,17,10,4000,4000,12,12,4000,10,12,528,13,11,12,4000,4000,17,11,13,4000,15,4000,4000,13,11,4000,13,12,4000,15,13,4000,4000,11,11,4000,1731,13,4000,4000,10,14,9,11,10,4000,10,11
154,4000,15,14,17,10,15,4000,12,12,4000,13,13,3388,13,12,15,4000,4000,18,224,15,4000,16,4000,4000,15,12,4000,14,11,4000,13,11,4000,10,15,14,4000,4000,12,11,20,10,25,9,4000,10,4000,11,13
162,4000,14,15,20,4000,4000,4000,15,12,4000,22,14,11,13,14,15,4000,4000,19,4000,11,35,14,1419,44,14,12,4000,16,13,4000,4000,13,4000,4000,333,12,4000,4000,14,11,4000,4000,4000,12,4000,4000,12,511,4000
169,18,4000,17,19,4000,4000,4000,1374,190,4000,26,14,13,15,14,15,4000,31,19,4000,14,4000,18,4000,4000,15,11,4000,15,556,4000,14,4000,4000,12,13,13,4000,4000,12,11,4000,9,21,4000,4000,11,4000,11,4000
176,4000,19,4000,22,4000,4000,13,249,12,4000,2529,48,14,13,15,54,3346,4000,4000,11,15,35,16,15,20,48,13,19,4000,15,4000,14,4000,3893,4000,13,15,4000,4000,14,4000,4000,10,4000,11,4000,12,456,4000,4000
183,4000,4000,4000,34,11,4000,401,14,14,4000,4000,38,4000,13,14,4000,4000,42,4000,542,13,39,13,4000,20,4000,12,4000,19,14,4000,14,4000,9,4000,14,13,4000,4000,542,4000,50,4000,4000,12,4000,10,78,4000,4000
189,4000,124,4000,31,363,4000,4000,13,113,4000,4000,4000,13,14,16,4000,4000,4000,49,641,15,89,14,30,4000,4000,14,19,4000,12,4000,14,27,4000,4000,4000,13,14,4000,12,17,4000,4000,4000,858,4000,4000,4000,4000,4000
196,4000,4000,4000,39,14,16,105,16,15,4000,41,4000,4000,17,15,4000,4000,4000,33,12,15,4000,15,23,4000,4000,4000,4000,16,15,4000,811,52,4000,4000,13,13,4000,21,12,19,4000,4000,4000,4000,4000,4000,25,55,4000
202,4000,4000,4000,34,16,88,4000,15,15,2539,43,4000,13,17,18,4000,4000,4000,42,4000,16,4000,17,4000,4000,4000,15,4000,18,15,4000,13,4000,4000,4000,17,14,4000,14,14,19,29,13,4000,1475,136,4000,4000,4000,112
209,32,4000,4000,4000,17,4000,42,17,15,4000,2480,4000,16,18,17,4000,4000,4000,42,12,15,51,16,4000,30,4000,14,4000,4000,17,4000,17,4000,4000,4000,18,18,4000,4000,13,30,4000,217,4000,4000,4000,22,4000,4000,4000
215,92,4000,57,4000,4000,4000,94,17,18,4000,55,4000,16,4000,4000,4000,4000,61,48,14,19,233,15,433,32,4000,17,4000,20,17,4000,15,4000,4000,4000,16,15,4000,4000,18,31,26,2441,4000,898,65,40,4000,4000,4000
221,4000,4000,4000,54,19,4000,4000,20,19,4000,56,54,17,16,16,4000,4000,4000,75,16,20,4000,15,4000,57,4000,19,63,4000,16,4000,4000,4000,4000,4000,19,20,4000,4000,18,39,4000,4000,4000,15,4000,21,4000,4000,4000
227,4000,4000,4000,63,4000,4000,4000,4000,20,3420,193,58,4000,4000,19,4000,4000,135,4000,17,21,4000,17,4000,4000,4000,17,4000,4000,19,4000,4000,228,4000,4000,19,21,4000,4000,17,29,4000,3645,4000,4000,4000,26,4000,4000,54
233,4000,174,3122,42,20,4000,4000,18,19,4000,4000,4000,27,4000,22,4000,33,4000,32,23,21,4000,22,4000,4000,4000,20,36,4000,21,4000,4000,4000,4000,4000,19,21,4000,4000,22,82,4000,19,4000,4000,4000,98,4000,2292,4000
239,174,4000,4000,83,18,4000,4000,21,21,4000,127,4000,4000,4000,4000,4000,59,96,4000,20,20,4000,25,4000,41,71,4000,4000,4000,19,4000,4000,4000,4000,4000,4000,20,4000,4000,19,26,4000,22,37,4000,4000,23,4000,4000,106
245,30,36,4000,4000,4000,4000,115,25,21,4000,4000,203,4000,4000,4000,130,57,4000,46,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,128,4000,219,67,4000,4000,4000,4000,4000,4000
251,4000,4000,4000,176,2808,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,111,4000,4000,149,4000,4000,206,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,36,4000,3528,58,4000,44,49,4000,2303,4000
