Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_31,Iteration_32,Iteration_33,Iteration_34,Iteration_35,Iteration_36,Iteration_37,Iteration_38,Iteration_39,Iteration_40,Iteration_41,Iteration_42,Iteration_43,Iteration_44,Iteration_45,Iteration_46,Iteration_47,Iteration_48,Iteration_49,Iteration_50
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,119,62,41,96,98,67,371,30,74,4000,32,59,46,35,118,38,98,59,116,356,66,35,52,33,38,51,44,35,30,37,100,52,55,4000,105,42,38,76,99,57,20,41,42,48,71,148,42,36,49,204
42,4000,65,64,74,727,63,151,56,57,4000,54,63,40,77,130,138,4000,41,574,83,70,43,52,51,53,107,36,49,28,48,93,76,59,4000,107,52,59,4000,89,44,26,56,4000,78,4000,60,48,57,64,62
55,4000,61,60,127,82,113,4000,59,80,4000,44,40,42,80,122,51,4000,62,91,55,72,42,62,60,62,135,49,58,58,60,196,134,71,4000,432,56,71,4000,4000,49,37,80,573,70,4000,63,54,58,71,68
67,4000,69,45,82,65,102,4000,54,48,4000,139,64,56,55,137,51,4000,159,114,569,62,61,72,61,91,56,52,95,43,56,122,66,96,4000,4000,52,50,4000,4000,51,31,75,171,90,1835,61,74,84,96,51
77,4000,83,73,73,4000,4000,4000,63,52,4000,83,98,82,61,130,67,4000,769,97,76,72,65,63,638,72,77,60,4000,57,61,4000,118,69,4000,4000,49,58,4000,4000,60,41,134,107,77,104,97,59,100,95,69
88,4000,79,92,86,95,129,4000,56,172,4000,87,214,60,63,157,51,4000,4000,129,68,85,106,62,4000,167,73,58,79,54,71,4000,117,55,4000,4000,77,88,4000,4000,63,47,90,728,118,4000,71,86,352,4000,94
97,4000,75,60,96,62,4000,4000,69,112,4000,84,61,91,57,135,68,4000,351,100,186,68,128,79,4000,4000,86,59,4000,83,67,4000,95,85,4000,4000,61,58,4000,4000,133,42,89,92,90,4000,123,83,4000,4000,75
106,4000,85,70,4000,82,4000,4000,69,71,4000,217,223,79,80,263,63,4000,1010,125,4000,101,97,61,4000,4000,85,64,4000,89,72,4000,102,67,4000,4000,91,73,4000,4000,82,45,102,420,97,4000,87,83,4000,4000,80
115,4000,90,69,86,119,4000,4000,74,85,4000,251,87,90,98,141,51,4000,388,96,170,70,4000,76,4000,146,83,84,4000,83,68,4000,105,79,4000,4000,75,95,4000,4000,72,53,4000,626,78,4000,71,90,4000,4000,84
123,4000,96,79,76,144,4000,4000,78,90,4000,278,87,123,117,137,80,4000,1692,305,149,121,4000,103,4000,4000,81,98,4000,60,104,4000,121,72,4000,4000,111,86,4000,4000,76,66,4000,862,108,4000,98,406,4000,4000,4000
131,4000,89,74,88,4000,4000,4000,78,205,4000,742,4000,85,83,152,69,4000,4000,90,4000,138,4000,125,4000,4000,96,182,4000,268,152,4000,4000,99,4000,4000,199,71,4000,4000,78,56,4000,4000,4000,4000,4000,112,4000,4000,115
139,4000,91,86,4000,4000,4000,4000,92,117,4000,83,4000,79,115,151,70,4000,4000,4000,4000,113,4000,420,4000,4000,77,118,4000,4000,107,4000,4000,128,4000,4000,90,76,4000,4000,83,63,4000,4000,4000,4000,107,138,4000,4000,111
147,4000,4000,4000,4000,4000,4000,4000,97,106,4000,4000,4000,4000,4000,165,4000,4000,4000,4000,4000,159,4000,100,4000,4000,4000,107,4000,4000,111,4000,4000,4000,4000,4000,4000,81,4000,4000,111,4000,4000,191,4000,4000,4000,206,4000,4000,114
154,4000,131,102,4000,251,4000,4000,104,157,4000,4000,4000,4000,4000,192,90,4000,4000,4000,4000,138,4000,149,4000,4000,4000,4000,4000,4000,69,4000,4000,4000,4000,4000,4000,104,4000,4000,79,4000,4000,4000,4000,4000,4000,139,4000,4000,4000
162,4000,4000,211,4000,4000,4000,4000,96,141,4000,4000,4000,4000,4000,160,90,4000,4000,4000,4000,134,4000,142,4000,4000,4000,4000,4000,4000,123,4000,4000,4000,4000,4000,4000,121,4000,4000,132,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
169,4000,4000,4000,4000,4000,4000,4000,4000,2104,4000,4000,4000,4000,4000,200,4000,4000,4000,4000,4000,108,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,99,4000,4000,98,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
176,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,163,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
183,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
189,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,152,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
196,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
202,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
