Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_31,Iteration_32,Iteration_33,Iteration_34,Iteration_35,Iteration_36,Iteration_37,Iteration_38,Iteration_39,Iteration_40,Iteration_41,Iteration_42,Iteration_43,Iteration_44,Iteration_45,Iteration_46,Iteration_47,Iteration_48,Iteration_49,Iteration_50
0,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355
26,355,355,355,360,356,355,355,355,355,490,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,431,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,360
42,564,355,355,355,356,355,355,355,355,367,355,355,355,355,355,355,382,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,363,355,355,355,355,355,355,355,355,357,355,357,355,355,355,355,355
55,799,355,355,355,355,355,423,355,355,544,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,359,355,355,529,357,355,355,355,374,355,355,355,356,355,358,355,355,356,355,355
67,633,355,355,362,355,355,434,355,355,366,355,355,355,355,355,355,532,355,355,357,355,355,355,355,355,355,355,355,355,355,355,355,355,364,358,355,355,355,355,355,355,355,356,355,357,355,355,355,355,355
77,601,355,355,362,356,355,474,355,355,601,355,355,355,355,355,355,359,355,355,355,355,355,355,355,355,355,355,464,355,355,109,355,355,376,355,355,355,360,355,355,356,355,355,355,356,355,355,357,355,355
88,672,355,355,355,355,355,536,355,355,535,355,355,355,355,355,355,374,367,356,355,355,355,355,356,355,355,355,355,355,355,679,355,355,375,551,355,355,439,131,355,355,355,357,355,355,355,355,355,360,355
97,397,355,355,355,355,355,529,355,355,413,355,355,355,355,355,355,93,355,355,356,355,355,355,531,569,355,355,361,355,355,84,355,355,397,358,355,355,358,355,355,355,355,355,355,363,355,356,441,355,355
106,387,355,355,568,355,124,456,355,355,142,355,355,355,355,358,355,114,359,355,362,355,355,355,480,483,355,355,357,355,355,355,355,355,609,601,355,355,558,362,355,355,355,361,355,495,355,355,507,355,355
115,619,355,355,355,355,363,526,355,355,414,355,355,359,355,355,355,374,360,355,357,355,616,355,707,355,355,355,401,355,355,121,355,355,408,791,355,355,415,102,355,355,432,360,355,581,355,356,533,355,355
