Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20
0,409,411,409,395,411,407,412,412,409,410,407,393,408,413,392,390,408,397,394,410
4,411,393,411,391,395,393,408,408,408,408,405,393,392,411,392,409,392,407,407,410
8,393,392,410,411,405,410,394,409,401,393,398,395,409,396,396,394,399,407,410,407
13,392,396,396,408,392,410,404,391,412,392,393,394,406,411,392,407,394,395,409,393
17,396,413,408,409,408,154,411,406,409,393,390,396,394,390,394,409,392,411,408,396
22,407,396,413,412,390,394,392,411,400,395,409,410,415,394,396,409,393,406,406,392
26,408,402,405,398,394,404,410,414,414,392,409,408,408,415,394,150,395,412,406,391
31,413,406,397,405,399,398,413,403,405,403,390,150,394,394,408,393,146,405,159,149
35,394,393,391,408,397,409,394,403,411,407,391,395,389,393,415,413,414,396,394,412
40,413,409,408,398,391,410,392,391,404,412,392,138,400,396,390,410,411,144,397,394
44,390,394,411,410,408,413,402,397,411,413,404,390,409,406,411,391,408,392,413,396
49,137,409,407,394,392,395,145,412,409,391,412,152,402,407,410,409,410,391,412,396
53,397,392,402,393,409,397,411,391,390,393,397,395,413,146,397,393,409,394,134,414
58,392,395,401,398,394,401,409,401,397,409,409,401,407,161,412,396,412,406,391,412
62,403,407,405,409,396,407,150,406,411,392,395,414,411,392,149,409,156,411,410,412
67,411,412,406,408,396,406,395,408,396,393,391,414,413,405,410,394,402,411,141,406
71,412,396,410,405,406,145,410,394,391,392,409,400,394,392,395,397,397,411,157,394
76,406,397,407,419,407,392,153,396,407,391,399,411,396,406,393,405,398,397,412,392
80,403,409,412,402,392,411,413,413,396,414,394,410,410,390,404,407,393,404,412,390
85,150,393,410,165,149,410,395,402,416,393,393,405,176,393,165,148,159,392,411,405
89,407,410,393,151,394,397,407,391,395,393,159,391,408,410,140,140,392,143,408,411
94,409,392,405,393,391,408,392,154,174,394,400,392,410,406,411,409,413,394,393,414
98,408,410,410,409,415,409,161,158,392,408,411,409,392,393,402,167,407,149,413,394
103,192,410,186,415,410,410,142,391,408,394,390,392,391,150,394,202,161,166,409,411
107,413,401,411,391,158,413,414,392,393,159,392,392,408,168,411,186,407,411,395,405
112,405,412,390,390,415,402,170,169,398,394,398,412,392,168,411,172,163,394,393,141
116,409,412,394,393,394,409,407,200,165,393,161,394,410,397,409,395,411,391,181,391
121,174,395,392,411,395,396,396,392,176,404,173,394,409,394,392,167,394,392,395,408
125,392,408,183,394,150,408,391,149,412,394,202,409,163,165,206,405,409,410,393,411
130,392,392,200,408,392,410,409,158,394,395,394,198,189,408,160,408,391,406,412,179
134,172,391,394,411,148,180,410,169,392,396,153,392,391,402,411,411,178,189,395,394
139,403,413,413,205,408,403,392,410,411,167,404,185,198,392,395,175,172,404,410,408
143,393,208,200,406,411,196,210,181,410,408,169,134,390,411,406,411,197,201,408,409
148,394,409,393,178,392,170,167,199,179,391,192,393,409,393,413,406,409,400,391,394
152,203,205,175,393,395,399,408,402,156,410,191,394,399,407,400,411,411,408,190,195
157,412,410,192,391,405,179,201,393,411,392,409,225,408,180,393,405,392,395,218,224
161,216,412,412,389,160,185,394,396,403,404,191,404,192,394,404,405,393,395,409,405
166,400,409,230,242,395,407,401,396,209,408,176,414,410,402,398,410,411,394,397,412
170,394,212,410,411,181,194,409,394,394,396,395,403,394,401,404,412,393,405,182,391
175,175,394,393,394,401,221,395,394,217,408,413,214,188,411,409,410,414,404,226,209
179,397,406,407,216,187,408,179,409,391,410,242,220,404,173,414,407,411,246,408,408
184,220,247,409,393,394,204,185,199,184,395,408,411,178,194,173,408,215,214,393,221
