Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,4000,1,1,1,1,1,1,1,1,1,1
43,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,2,3,3,2,3,3,2,2,2,3,3,2,3,2,3,2,3,2,2,3
68,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,2,3,4000
79,3,3,3,4000,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3
89,3,4000,3,3,3,3,3,3,3,4000,3,3,4,3,3,3,3,3,4000,4
99,3,4000,3,4,3,3,3,3,3,4000,3,4000,3,3,3,3,3,4000,4,4
108,3,3,4000,4000,3,4,3,4000,3,3,3,3,3,4,3,4,4,4,3,4
117,4000,4,3,3,4000,4,4,3,3,4,3,4,4,3,3,4,4,4,4,3
125,4,4,3,4,4,4,3,4000,4,4,3,4,3,4,4,4000,4000,3,4,3
134,4,5,4,3,4,4000,4,4,4000,4,4,4000,3,4,4,4,4000,4,4,4000
142,4,4,4,4,4,4,4,4,4,4,4,4000,4000,4,4,4,4,4,4000,4
149,3,4,4,5,4,4,4000,3,4,4,4,4,4,4,4,4,4000,4,3,4000
157,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
164,4,4,4,4000,4,4,4,4,4,4000,3,4,5,4000,4,4,4,4,4,4
172,4,4000,4,4,4000,4,4,4,4000,4,4,4,4000,5,4,4,4,4,4,4
179,4000,4,4,4,4,5,4,4,5,4,4,4,4000,4,5,4,4,4,4,4
186,4000,4,5,4,4,4,4,5,4,4,4,4,4,4000,4,4,4,5,4,4
193,4,4,4,4,4,5,4,4,5,500,5,4,4,5,4,4000,4,4,4000,4000
199,4,5,4,4000,4000,4,4,5,4,4,4000,4,4,4000,4,4000,4,5,4000,4
206,5,4000,4,4,5,5,4000,4000,4,4000,5,5,5,4,5,5,4,5,5,4
212,4000,4,4000,4000,4000,5,5,4,4,4,4,4,4,4000,4,4,5,4000,6,5
219,5,5,5,4,5,5,4,183,4,4,4000,278,4000,4,4,4,4,5,4000,4000
225,4000,5,4,4000,5,4000,5,5,5,5,4,5,5,5,5,4000,5,5,5,5
231,4000,4,4000,5,5,4000,5,5,4000,5,4000,4,4000,5,4000,4000,5,5,4000,4000
237,4,302,4,4000,5,5,4000,4000,5,4,4000,6,4000,5,5,5,6,5,6,5
243,4000,373,5,6,4,5,5,4000,5,4000,4000,5,5,5,5,4000,5,5,5,5
249,5,5,4000,4000,5,4,4,6,4000,4000,5,5,5,6,4,4000,4,5,5,4000
255,5,4000,4000,5,5,5,5,360,5,4000,5,6,5,4000,5,5,5,5,5,5
261,4000,4000,4000,4000,5,5,6,5,5,4000,4000,5,5,4000,4000,5,5,4000,4000,5
267,4000,6,5,6,5,6,5,6,5,5,5,5,4000,7,4000,4000,5,5,4000,4000
273,4000,5,6,5,6,6,5,5,4000,4000,6,6,6,7,7,5,4000,6,4000,4000
278,4000,6,118,6,4000,6,4000,4000,4000,4000,6,6,4000,6,5,4000,481,6,4000,282
284,6,6,4000,6,4000,7,4000,6,422,6,4000,4000,6,6,6,464,5,4000,6,3654
290,684,8,4000,963,4000,6,4000,4000,4000,4000,4000,6,6,4000,7,4000,4000,4000,6,9
295,176,4000,7,8,6,6,4000,6,6,7,4000,4000,8,6,4000,4000,6,7,6,4000
301,7,7,4000,7,8,4000,4000,6,4000,6,4000,4000,2302,7,8,142,6,4000,8,7
306,6,7,8,6,4000,6,6,11,4000,8,4000,4000,8,4000,6,1539,4000,7,4000,360
311,4000,4000,4000,4000,2512,7,1438,4000,4000,4000,4000,9,6,4000,7,2893,7,4000,4000,4000
317,7,8,4000,4000,4000,416,4000,4000,4000,129,4000,4000,10,4000,4000,7,4000,3705,7,4000
322,7,4000,9,8,4000,4000,8,9,530,10,4000,8,4000,8,4000,9,4000,4000,7,4000
327,8,4000,4000,1248,4000,8,9,8,4000,12,349,10,9,4000,9,8,4000,11,4000,4000
332,4000,9,4000,10,8,4000,12,4000,1332,4000,10,4000,4000,10,13,4000,8,13,4000,4000
337,4000,11,4000,4000,11,4000,13,4000,11,4000,9,10,12,9,4000,12,4000,4000,2765,4000
342,17,16,14,4000,9,4000,10,4000,18,4000,11,14,3829,13,4000,17,12,4000,14,15
348,2268,18,15,4000,4000,4000,4000,4000,4000,2837,4000,14,19,17,4000,4000,18,14,4000,4000
353,25,4000,4000,4000,4000,4000,4000,4000,4000,4000,16,4000,70,15,4000,4000,81,4000,16,124
358,4000,22,4000,4000,4000,4000,71,4000,4000,4000,4000,4000,4000,4000,4000,4000,184,4000,18,4000
363,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
