Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,135,38,176,126,123,149,4000,147,135,4000,152,142,48,154,120,86,135,145,145,128
43,138,60,4000,160,83,156,129,4000,139,210,158,142,131,74,134,167,130,135,156,4000
56,162,163,4000,184,125,153,159,4000,79,74,68,4000,193,88,173,131,4000,160,128,187
68,69,139,74,152,156,76,159,160,59,186,143,142,162,147,126,133,140,4000,4000,4000
79,88,137,4000,4000,178,189,161,185,165,179,4000,153,179,190,151,4000,238,154,156,184
89,73,4000,4000,94,105,142,162,73,149,4000,151,160,87,72,88,160,158,158,4000,4000
99,82,4000,175,86,93,155,4000,138,83,4000,4000,4000,86,83,159,187,158,4000,110,89
108,83,171,4000,4000,97,153,141,4000,70,308,4000,144,83,4000,4000,95,164,148,4000,191
117,4000,234,4000,134,4000,157,213,4000,81,88,186,86,4000,179,4000,185,4000,4000,76,172
125,137,181,159,4000,4000,133,156,4000,105,417,83,94,180,132,209,4000,4000,94,91,173
134,183,4000,4000,94,4000,4000,214,4000,4000,175,176,4000,4000,4000,152,91,4000,114,4000,4000
142,143,4000,88,204,127,4000,183,121,81,442,172,4000,4000,4000,120,83,146,90,4000,4000
149,4000,182,168,183,4000,93,4000,204,180,103,4000,4000,157,286,98,4000,4000,822,4000,4000
157,4000,4000,4000,262,148,211,180,108,97,99,119,4000,113,4000,170,125,4000,512,4000,4000
164,135,4000,95,4000,79,108,4000,119,93,4000,98,187,4000,4000,170,91,109,4000,92,96
172,4000,4000,106,88,4000,1047,254,175,4000,95,4000,108,4000,128,4000,94,100,192,130,125
179,4000,4000,4000,4000,110,107,422,4000,95,4000,176,119,4000,609,4000,3181,132,4000,211,4000
186,4000,270,93,86,4000,4000,4000,4000,190,601,4000,4000,105,4000,4000,4000,114,528,594,99
193,117,179,365,4000,118,114,4000,100,109,4000,80,199,117,202,369,4000,447,4000,4000,4000
199,104,212,104,4000,4000,167,197,126,201,4000,4000,4000,95,4000,124,4000,205,138,4000,4000
206,4000,4000,4000,110,83,4000,4000,4000,212,4000,4000,4000,4000,4000,4000,86,442,179,115,1185
212,4000,4000,4000,4000,4000,4000,189,100,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,84
219,4000,98,123,127,87,97,4000,1313,4000,4000,4000,4000,4000,4000,171,4000,168,4000,4000,4000
225,4000,4000,112,4000,4000,4000,112,101,4000,114,4000,186,240,107,143,4000,147,4000,217,4000
231,4000,4000,4000,209,4000,4000,268,4000,4000,568,4000,4000,4000,118,4000,4000,374,129,4000,4000
237,4000,4000,199,4000,136,130,4000,4000,4000,186,4000,4000,4000,3991,4000,4000,4000,4000,4000,177
243,4000,4000,195,305,128,4000,4000,4000,4000,4000,4000,382,4000,115,250,4000,4000,4000,115,1589
249,4000,579,4000,4000,117,4000,4000,4000,4000,4000,4000,275,192,4000,4000,4000,4000,4000,257,4000
255,113,4000,4000,97,4000,214,4000,3140,188,4000,101,4000,159,4000,4000,171,4000,169,4000,104
261,4000,4000,4000,4000,133,117,138,4000,359,4000,4000,252,120,4000,4000,356,4000,4000,4000,1766
