Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20
0,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355
27,355,355,355,355,355,355,355,355,355,803,355,355,355,355,355,355,355,355,355,355
43,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,364
56,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,435,355,355,355
68,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,358,364,549
79,355,355,428,519,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355
89,355,539,355,355,355,355,355,355,355,497,355,355,355,355,355,355,355,355,546,355
99,355,498,355,355,355,355,394,355,355,617,411,805,355,355,355,355,355,658,355,355
108,355,355,508,502,355,355,355,497,355,355,355,355,355,355,355,355,355,355,355,355
117,451,355,355,355,444,355,355,355,355,355,355,355,355,355,355,355,439,360,355,355
125,355,355,355,355,367,355,355,528,355,355,355,355,355,355,355,529,440,355,355,355
134,355,355,355,355,355,626,355,355,457,355,355,614,382,412,355,355,533,355,355,499
142,355,358,355,355,355,366,355,355,355,355,355,954,633,355,355,355,355,355,601,355
149,355,355,355,355,355,355,717,355,355,355,355,355,355,355,355,355,507,355,355,521
157,355,355,359,355,355,355,355,355,355,355,355,355,355,370,355,355,362,355,362,355
164,355,355,355,505,355,355,355,355,355,527,355,355,355,506,355,355,355,406,355,355
172,355,503,355,355,562,355,355,355,492,355,355,355,533,355,355,355,355,355,355,355
179,439,359,368,397,355,355,355,355,355,355,355,355,558,359,355,357,355,355,355,355
186,452,355,355,355,355,355,355,361,355,360,355,355,355,490,355,432,355,360,355,355
193,355,355,355,355,355,355,355,355,355,368,355,355,355,355,355,432,355,355,449,435
199,355,355,355,525,550,355,355,355,355,355,527,355,355,446,355,567,355,355,504,355
206,355,447,355,355,355,355,645,698,355,509,355,355,355,355,355,355,359,355,355,355
212,659,429,90,504,500,367,355,355,355,355,355,359,355,453,355,364,355,808,369,355
219,355,355,355,355,355,355,358,358,355,355,452,359,502,361,355,427,355,355,568,477
225,506,355,355,543,355,439,355,355,355,355,355,355,355,355,355,528,355,357,355,356
231,575,366,457,355,355,546,360,359,653,355,508,356,509,355,433,543,355,355,506,462
237,355,355,356,565,355,355,484,145,355,355,440,355,543,365,355,355,358,427,355,355
243,101,369,355,355,355,355,355,561,355,558,434,355,355,355,355,598,359,360,355,357
249,359,355,524,593,355,355,375,355,491,530,355,355,355,355,355,503,356,355,355,563
255,355,810,533,355,356,355,355,364,355,118,355,428,355,503,355,355,355,355,362,355
261,460,603,537,642,355,355,355,355,360,450,457,355,355,437,450,355,355,117,544,360
267,454,359,355,360,355,355,363,355,364,356,355,355,585,355,528,531,360,355,514,437
273,759,355,355,363,359,355,355,355,624,612,359,355,355,355,355,355,685,355,557,90
278,642,355,355,355,540,355,110,561,493,432,355,355,433,360,355,520,370,355,469,358
284,355,355,618,355,564,355,447,364,370,355,498,652,355,355,364,384,355,447,355,392
290,370,430,514,374,437,391,573,551,530,455,601,361,355,704,355,535,962,545,369,355
295,358,531,355,355,361,355,653,360,359,355,807,676,355,359,495,558,355,355,364,594
301,374,355,522,362,355,396,699,359,119,356,538,457,385,387,355,355,360,394,355,364
306,355,355,356,358,486,367,355,355,125,355,487,513,355,503,362,384,556,355,153,359
311,523,447,479,466,380,355,381,483,573,579,513,355,356,486,370,388,355,547,669,462
317,355,355,114,490,581,365,592,669,509,355,533,535,359,111,495,355,460,391,355,615
322,359,525,362,355,531,634,355,355,371,374,522,355,741,375,588,359,428,652,355,498
327,355,528,79,377,545,375,363,358,474,359,359,365,364,491,355,359,112,355,121,484
332,519,355,105,355,355,483,360,529,373,629,359,102,112,356,355,112,355,368,111,558
337,447,375,507,448,358,129,355,423,359,121,355,355,364,360,92,427,404,534,377,118
342,356,355,379,698,365,542,355,395,355,99,387,355,392,355,109,355,362,524,362,366
348,387,361,357,412,87,78,433,411,93,383,558,389,355,355,86,524,357,374,558,474
353,363,455,66,79,88,581,62,72,84,64,359,74,360,360,64,48,376,668,366,362
358,34,355,20,65,35,29,364,83,33,57,29,23,20,73,52,38,367,474,355,63
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
